repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
agiresearch/OpenAGI,AI engineering,Agent,1954,2,0.10%,8,0.41%,163,OpenAGI: When LLM Meets Domain Experts,"TobyGE, evison, dongyuanjushi",17,2023-04-08,2024-09-02,0
ahmadbilaldev/langui,AI engineering,AI interface,2480,2,0.08%,10,0.40%,128,"UI for your AI. Open Source Tailwind components tailored for your GPT, generative AI, and LLM projects.","ahmadbilaldev, ahmadawais, wenyang0",4,2023-05-24,2023-10-26,0
MiuLab/Taiwan-LLM,Model repo,Multilingual,1247,2,0.16%,5,0.40%,104,Traditional Mandarin LLMs for Taiwan,"adamlin120, yvchen, WangRongsheng",10,2023-08-10,2024-08-18,0
ggerganov/ggml,Model development,Inference optimization,11149,2,0.02%,44,0.39%,1025,Tensor library for machine learning,"ggerganov, slaren, JohannesGaessler",100+,2022-09-18,2024-11-04,0
openai/consistency_models,Model repo,Multimodal,6146,2,0.03%,23,0.37%,414,Official repo for consistency models.,"yang-song, sayakpaul, discus0434",9,2023-02-26,2023-08-12,0
luban-agi/Awesome-AIGC-Tutorials,Tutorials,,3859,2,0.05%,14,0.36%,260,"Curated tutorials and resources for Large Language Models, AI Painting, and more. ",zht1130,1,2023-08-22,1000-01-01,0
microsoft/aici,AI engineering,Prompt engineering,1930,2,0.10%,7,0.36%,78,AICI: Prompts as (Wasm) Programs,"mmoskal, emrekiciman, microsoftopensource",10,2023-09-26,2024-08-13,61
huggingface/candle,Model development,Modeling & training,15771,2,0.01%,57,0.36%,946,Minimalist ML framework for Rust,"LaurentMazare, Narsil, ivarflakstad",100+,2023-06-19,2024-11-05,0
steven2358/awesome-generative-ai,Lists,,5812,2,0.03%,21,0.36%,644,A curated list of modern Generative Artificial Intelligence projects and services,"steven2358, sonoroboto, engineer-taro",49,2022-10-20,2024-08-21,0
intel-analytics/BigDL,Model development,Inference optimization,6668,2,0.03%,24,0.36%,1260,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, GraphRAG, DeepSpeed, Axolotl, etc","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-11-05,57
intel-analytics/ipex-llm,Model development,Inference optimization,6668,2,0.03%,24,0.36%,1260,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL, MiniCPM-V, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, vLLM, GraphRAG, DeepSpeed, Axolotl, etc","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-11-05,340
gpuweb/gpuweb,Infrastructure,Compute management,4818,2,0.04%,17,0.35%,318,Where the GPU for the Web work happens!,"kainino0x, dneto0, toji",100+,2017-02-10,2024-11-05,0
jackmpcollins/magentic,AI engineering,Prompt engineering,2010,2,0.10%,7,0.35%,97,Seamlessly integrate LLMs as Python functions,"jackmpcollins, entropi, eltociear",8,2023-06-18,2024-09-24,0
CarperAI/trlx,Model development,Modeling & training,4498,2,0.04%,15,0.33%,472,A repo for distributed training of language models with Reinforcement Learning via Human Feedback (RLHF),"maxreciprocate, jon-tow, Dahoas",51,2022-10-03,2024-01-08,0
microsoft/FLAML,AI engineering,AIE framework,3907,2,0.05%,13,0.33%,508,A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.,"sonichi, skzhang1, liususan091219",87,2020-08-20,2024-10-31,0
lyuchenyang/Macaw-LLM,Model repo,Multimodal,1542,2,0.13%,5,0.32%,125,"Macaw-LLM: Multi-Modal Language Modeling with Image, Video, Audio, and Text Integration","lyuchenyang, longyuewangdcu, bingshuailiu",4,2023-05-23,1000-01-01,0
InternLM/InternLM,Model repo,Multilingual,6430,2,0.03%,20,0.31%,454,Official release of InternLM2.5 base and chat models. 1M context support,"huangting4201, sunpengsdu, yingtongxiong",54,2023-07-06,2024-09-06,0
punica-ai/punica,Infrastructure,Serving,980,2,0.20%,3,0.31%,46,Serving multiple LoRA finetuned LLM as one,"abcdabcd987, yzh119, luciferlinx101",7,2023-08-16,2024-01-09,6
PKU-Alignment/safe-rlhf,Model development,Modeling & training,1335,2,0.15%,4,0.30%,119,Safe RLHF: Constrained Value Alignment via Safe Reinforcement Learning from Human Feedback,"XuehaiPan, rockmagma02, calico-1226",4,2023-05-15,2024-06-13,0
AbdBarho/stable-diffusion-webui-docker,Infrastructure,Toolings,6749,2,0.03%,20,0.30%,1127,Easy Docker setup for Stable Diffusion with user-friendly UI,"AbdBarho, DevilaN, KagurazakaNyaa",23,2022-08-27,2024-06-23,186839
fiatrete/OpenDAN-Personal-AI-OS,Applications,Workflow automation,1693,2,0.12%,5,0.30%,142,"OpenDAN is an open source Personal AI OS , which consolidates various AI modules in one place for your personal use.","waterflier, fiatrete, photosssa",15,2023-05-11,2024-04-23,0
mozilla/TTS,Model development,Modeling & training,9374,2,0.02%,27,0.29%,1251,:robot: :speech_balloon: Deep learning for Text to Speech  (Discussion forum: https://discourse.mozilla.org/c/tts),"erogol, Edresson, lexkoro",43,2018-01-23,2021-02-18,7970
saharNooby/rwkv.cpp,Model development,Inference optimization,1420,2,0.14%,4,0.28%,98,INT4/INT5/INT8 and FP16 inference on CPU for RWKV language model,"ggerganov, saharNooby, MollySophia",90,2023-03-30,2024-08-07,3729
replicate/cog,Infrastructure,Toolings,8039,2,0.02%,22,0.27%,560,Containers for machine learning,"bfirsh, andreasjansson, nickstenning",62,2021-02-26,2024-11-05,55910
Alpha-VLLM/LLaMA2-Accessory,Model development,Modeling & training,2715,2,0.07%,7,0.26%,176,An Open-source Toolkit for LLM Development,"ChrisLiu6, Enderfga, kriskrisliu",19,2023-07-21,2024-05-24,0
xlang-ai/OpenAgents,Applications,Workflow automation,3980,2,0.05%,10,0.25%,439,[COLM 2024] OpenAgents: An Open Platform for Language Agents in the Wild,"taoyds, Timothyxxx, BlankCheng",16,2023-08-08,2024-05-28,0
1rgs/jsonformer,AI engineering,Prompt engineering,4447,2,0.04%,11,0.25%,156,A Bulletproof Way to Generate Structured JSON from Language Models,"1rgs, danielcorin, ishmandoo",6,2023-04-29,2023-05-30,0
modularml/mojo,Model development,Modeling & training,23235,2,0.01%,56,0.24%,2597,The Mojo Programming Language,"abduld, JoeLoser, lattner",100+,2023-04-28,2024-10-31,0
OpenGVLab/InternImage,Model repo,Multimodal,2521,2,0.08%,6,0.24%,234,[CVPR 2023 Highlight] InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions,"czczup, Zeqiang-Lai, YeShenglong1",13,2022-11-10,2023-08-23,7069
Nutlope/aicommits,Applications,Coding,7945,2,0.03%,18,0.23%,382,A CLI that writes your git commit messages for you with AI,"privatenumber, Nutlope, yusefren",24,2023-02-14,2023-02-15,0
lucidrains/self-rewarding-lm-pytorch,Model development,Modeling & training,1331,2,0.15%,3,0.23%,73,"Implementation of the training framework proposed in Self-Rewarding Language Model, from MetaAI","lucidrains, Control-derek, Dyke-F",5,2024-01-19,2024-04-11,0
yihong0618/xiaogpt,AI engineering,AI interface,6236,2,0.03%,14,0.22%,876,Play ChatGPT and other LLM with Xiaomi AI Speaker,"yihong0618, frostming, pjq",45,2023-02-16,2024-10-29,0
salesforce/CodeGen,Model repo,,4929,2,0.04%,11,0.22%,380,CodeGen is a family of open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.,"enijkamp, rooa, bpucla",10,2022-03-28,2023-08-15,0
open-mmlab/mmdeploy,Infrastructure,Serving,2759,2,0.07%,6,0.22%,634,OpenMMLab Model Deployment Framework,"RunningLeon, AllentDan, grimoire",100+,2021-12-24,2024-09-30,34202
cloneofsimo/lora,Model development,Modeling & training,7038,2,0.03%,15,0.21%,480,Using Low-rank adaptation to quickly fine-tune diffusion models.,"cloneofsimo, hdon96, levi",18,2022-12-08,2023-01-29,0
allegroai/clearml,Infrastructure,Serving,5665,2,0.04%,12,0.21%,653,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","alex-burlacu-clear-ml, pollfly, clearml-bot",95,2019-06-10,2024-09-20,2247
cleanlab/cleanlab,Model development,Dataset engineering,9677,2,0.02%,19,0.20%,751,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.","cgnorthcutt, jwmueller, elisno",51,2018-05-11,2024-10-23,0
xiangsx/gpt4free-ts,AI engineering,AI interface,7676,2,0.03%,15,0.20%,1345,Providing a free OpenAI GPT-4 API !   This is a replication project for the typescript version of xtekky/gpt4free,"xiangsx, akl7777777, Neco86",14,2023-05-04,2024-04-09,0
aisingapore/TagUI,Applications,Workflow automation,5648,2,0.04%,11,0.19%,585,Free RPA tool by AI Singapore,"kensoh, siowyisheng, ruthtxh",18,2016-12-06,2024-09-06,79032
PrefectHQ/marvin,AI engineering,Prompt engineering,5265,2,0.04%,10,0.19%,345,✨ Build AI interfaces that spark joy,"jlowin, zzstoatzz, aaazzam",46,2023-03-10,2024-11-04,0
google-research/t5x,Model development,Modeling & training,2674,2,0.07%,5,0.19%,306,,"adarob, cpgaffney1, hwchung27",99,2021-11-01,2024-10-21,0
ztxz16/fastllm,Model development,Inference optimization,3308,2,0.06%,6,0.18%,339,"纯c++的全平台llm加速库，支持python调用，chatglm-6B级模型单卡可达10000+token / s，支持glm, llama, moss基座，手机端流畅运行","ztxz16, wildkid1024, TylunasLi",39,2023-05-13,2024-09-20,0
THUDM/ChatGLM3,Model repo,Multilingual,13443,2,0.01%,24,0.18%,1561,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型,"zRzRzRzRzRzRzR, duzx16, Btlmd",36,2023-10-26,2024-07-10,0
microsoft/promptbase,Tutorials,Prompt engineering,5409,2,0.04%,9,0.17%,301,All things prompt engineering,"riedgar-ms, Harsha-Nori, microsoftopensource",7,2023-12-12,2024-06-04,0
facebookresearch/codellama,Model repo,,16006,2,0.01%,26,0.16%,1862,Inference code for CodeLlama models,"jspisak, jgehring, mpu",11,2023-08-24,2024-05-21,0
adapter-hub/adapters,Model development,Modeling & training,2565,2,0.08%,4,0.16%,345,A Unified Library for Parameter-Efficient and Modular Transfer Learning ,"calpt, lenglaender, hSterz",13,2020-04-21,2024-11-02,0
openai/point-e,Model repo,,6519,2,0.03%,10,0.15%,759,Point cloud diffusion for 3D model synthesis,"unixpickle, heewooj",2,2022-12-06,2022-12-20,0
PaddlePaddle/PaddleNLP,Model development,Modeling & training,12097,2,0.02%,18,0.15%,2935,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc. ","ZHUI, wawltor, sijunhe",100+,2021-02-05,2024-08-07,0
THUDM/AgentTuning,AI engineering,Agent,1361,2,0.15%,2,0.15%,95,AgentTuning: Enabling Generalized Agent Abilities for LLMs,"lr-tsinghua11, Sengxian, Btlmd",8,2023-10-18,2023-10-28,0
intel/intel-extension-for-transformers,AI engineering,AIE framework,2136,2,0.09%,3,0.14%,211,⚡ Build your chatbot within minutes on your favorite device; offer SOTA compression techniques for LLMs; run LLMs efficiently on Intel Platforms⚡,"VincyZhang, changwangss, lvliang-intel",100+,2022-11-11,2024-08-13,0
ludwig-ai/ludwig,AI engineering,AIE framework,11174,2,0.02%,15,0.13%,1194,"Low-code framework for building custom LLMs, neural networks, and other AI models","w4nderlust, jimthompson5802, tgaddair",100+,2018-12-27,1000-01-01,0
OpenBMB/ChatDev,Applications,Coding,25531,2,0.01%,32,0.13%,3205,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),"thinkwee, Alphamasterliu, qianc62",55,2023-08-28,2024-10-11,0
varunshenoy/GraphGPT,Applications,Coding,4337,2,0.05%,5,0.12%,390,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,"varunshenoy, ramonwenger, katsi",3,2023-01-31,2023-03-03,0
mozilla/DeepSpeech,Model development,Modeling & training,25318,2,0.01%,28,0.11%,3961,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers.","reuben, lissyx, kdavis-mozilla",100+,2016-06-02,2020-07-23,1121459
imartinez/privateGPT,Applications,Info aggregation,54076,2,0.00%,58,0.11%,7266,"Interact with your documents using the power of GPT, 100% privately, no data leaks","imartinez, jaluma, lopagela",90,2023-05-02,2024-10-17,0
TheLastBen/fast-stable-diffusion,Applications,Image production,7530,2,0.03%,8,0.11%,1305,fast-stable-diffusion + DreamBooth,"TheLastBen, Maw-Fox, daswer123",19,2022-09-21,2023-04-13,0
huggingface/datasets,Model development,Dataset engineering,19224,2,0.01%,20,0.10%,2686,"🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools","lhoestq, albertvillanova, mariosasko",100+,2020-03-26,2024-11-04,0
ymcui/Chinese-LLaMA-Alpaca,Model repo,Multilingual,18348,2,0.01%,16,0.09%,1866,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),"ymcui, airaria, iMountTai",10,2023-03-15,2023-07-18,0
LargeWorldModel/LWM,Model repo,,7134,2,0.03%,6,0.08%,551,Large World Model -- Modeling Text and Video with Millions Context,"wilson1yan, haoliuhl, eltociear",3,2024-02-08,2024-02-21,0
linyiLYi/street-fighter-ai,Applications,Bots,6334,2,0.03%,5,0.08%,1362,This is an AI agent for Street Fighter II Champion Edition.,"linyiLYi, kianmeng, arch-fan",3,2023-03-27,2023-04-21,0
jina-ai/jina,Infrastructure,Toolings,21112,2,0.01%,16,0.08%,2218,☁️ Build multimodal AI applications with cloud-native stack,"hanxiao, JoanFM, nan-wang",100+,2020-02-13,2024-11-05,0
baidu-research/warp-ctc,Model development,Modeling & training,4067,2,0.05%,3,0.07%,1042,Fast parallel CTC.,"ekelsen, jaredcasper, gangliao",20,2016-01-14,2016-01-14,0
thunlp/OpenPrompt,AI engineering,Prompt engineering,4351,2,0.05%,3,0.07%,454,An Open-Source Framework for Prompt-Learning.,"ShengdingHu, Achazwl, yulinchen99",17,2021-09-30,2023-05-06,0
Lightning-AI/lit-llama,Model repo,,5988,2,0.03%,4,0.07%,519,"Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.","carmocca, lantiga, awaelchli",31,2023-03-22,2024-09-06,0
BloopAI/bloop,Applications,Coding,9433,2,0.02%,6,0.06%,573,bloop is a fast code search engine written in Rust.,"anastasiya1155, ggordonhall, rsdy",27,2022-12-10,2024-10-18,41678
deep-floyd/IF,Model repo,Multimodal,7678,2,0.03%,4,0.05%,497,,"shonenkov, zeroshot-ai, apolinario",8,2023-01-20,2023-06-02,0
openai/transformer-debugger,AI engineering,Evals,4029,2,0.05%,2,0.05%,236,,"henktillman, WuTheFWasThat, machina-source",12,2024-03-11,2024-06-04,0
mayooear/gpt4-pdf-chatbot-langchain,Applications,Info aggregation,14913,2,0.01%,7,0.05%,3020,GPT4 & LangChain Chatbot for large PDF docs,"mayooear, jacoblee93, ankri",3,2023-03-17,2023-11-13,0
openai/chatgpt-retrieval-plugin,Applications,Bots,21064,2,0.01%,6,0.03%,3687,The ChatGPT Retrieval Plugin lets you easily find personal or work documents by asking questions in natural language.,"isafulf, logankilpatrick, pablocastro",38,2023-03-23,2024-04-24,0
google-deepmind/sonnet,Model development,Modeling & training,9771,2,0.02%,2,0.02%,1298,TensorFlow-based neural network library,"tomhennigan, malcolmreynolds, diegolascasas",55,2017-04-03,2024-04-08,0
swirlai/swirl-search,Applications,Info aggregation,1827,1,0.05%,63,3.45%,161,SWIRL AI Connect: AI infrastructure software that powers your Search & Retrieval Augmented Generation (RAG) applications. Simplify and enhance your AI pipelines with seamless integration of large language models (LLMs) and data sources.,"erikspears, dnicodemus, sidprobstein",30,2022-04-08,2024-11-05,0
vectara/hallucination-leaderboard,AI engineering,Evals,1227,1,0.08%,19,1.55%,47,Leaderboard Comparing LLM Performance at Producing Hallucinations when Summarizing Short Documents,"simonhughes22, ofermend, mbae26",10,2023-10-31,2024-10-28,0
declare-lab/tango,Model repo,Multimodal,1063,1,0.09%,15,1.41%,86,A family of diffusion models for text-to-audio generation.,"soujanyaporia, deepanwayx, nmder",7,2023-04-10,2024-05-02,0
SalesforceAIResearch/uni2ts,Model repo,,840,1,0.12%,11,1.31%,90,Unified Training of Universal Time Series Forecasting Transformers,"gorold, liu-jc, chenghaoliu89",6,2024-02-07,2024-11-01,0
devflowinc/trieve,AI engineering,AIE framework,1544,1,0.06%,19,1.23%,135,"All-in-one infrastructure for search, recommendations, RAG, and analytics offered via API","skeptrunedev, densumesh, cdxker",43,2023-03-26,2024-11-05,0
Ligo-Biosciences/AlphaFold3,Model repo,Multimodal,852,1,0.12%,10,1.17%,64,Open source implementation of AlphaFold3,"ardagoreci, alexzhang13, callum-umana",4,2023-11-11,2024-09-16,0
roboflow/inference,Infrastructure,Serving,1354,1,0.07%,14,1.03%,123,"A fast, easy-to-use, production-ready inference server for computer vision supporting deployment of many popular model architectures and fine-tuned models.","PawelPeczek-Roboflow, probicheaux, grzegorz-roboflow",47,2023-07-31,2024-11-05,0
mosaicml/streaming,Infrastructure,Data management,1129,1,0.09%,11,0.97%,142,A Data Streaming Library for Efficient Neural Network Training,"karan6181, knighton, snarayan21",53,2022-06-09,2024-11-04,15
lunary-ai/lunary,Infrastructure,Monitoring,1073,1,0.09%,10,0.93%,130,"The production toolkit for LLMs. Observability, prompt management and evaluations. ","hughcrt, vincelwt, 7HR4IZ3",8,2023-05-12,2024-11-05,0
llmonitor/llmonitor,Infrastructure,Monitoring,1073,1,0.09%,10,0.93%,130,"The production toolkit for LLMs. Observability, prompt management and evaluations. ","hughcrt, vincelwt, 7HR4IZ3",8,2023-05-12,2024-11-05,0
OpenGVLab/SAM-Med2D,Model repo,Multimodal,868,1,0.12%,8,0.92%,82,Official implementation of SAM-Med2D,"Cjl-MedSeg, Yejin0111, nye0",5,2023-08-26,2023-09-09,0
laiyer-ai/llm-guard,AI engineering,Prompt engineering,1228,1,0.08%,11,0.90%,154,The Security Toolkit for LLM Interactions,"asofter, CandiedCode, krrishdholakia",15,2023-07-27,2024-10-18,0
ysymyth/ReAct,AI engineering,Prompt engineering,1958,1,0.05%,17,0.87%,195,[ICLR 2023] ReAct: Synergizing Reasoning and Acting in Language Models,"ysymyth, john-b-yang",2,2022-11-13,2023-07-14,0
Vahe1994/AQLM,Model development,Inference optimization,1165,1,0.09%,10,0.86%,175,Official Pytorch repository for Extreme Compression of Large Language Models via Additive Quantization https://arxiv.org/pdf/2401.06118.pdf and PV-Tuning: Beyond Straight-Through Estimation for Extreme LLM Compression https://arxiv.org/abs/2405.14852,"BlackSamorez, justheuristic, Godofnothing",10,2024-01-12,2024-11-04,0
netease-youdao/BCEmbedding,Model repo,,1465,1,0.07%,12,0.82%,97,Netease Youdao's open-source embedding and reranker models for RAG products.,"shenlei1020, tpoisonooo, Guochengjie",5,2024-01-02,2024-09-06,0
ModelTC/lightllm,Infrastructure,Serving,2574,1,0.04%,21,0.82%,203,"LightLLM is a Python-based LLM (Large Language Model) inference and serving framework, notable for its lightweight design, easy scalability, and high-speed performance.","hiworldwzj, shihaobai, sufubao",30,2023-07-22,2024-11-01,0
explosion/spacy-llm,AI engineering,Prompt engineering,1120,1,0.09%,9,0.80%,88,🦙 Integrating LLMs into structured NLP pipelines,"rmitsch, svlandeg, ljvmiranda921",17,2023-03-16,2024-05-17,0
SqueezeAILab/LLMCompiler,AI engineering,AIE framework,1501,1,0.07%,12,0.80%,109,[ICML 2024] LLMCompiler: An LLM Compiler for Parallel Function Calling,"kssteven418, hwchase17, eltociear",4,2023-12-06,2024-07-10,0
nlmatics/llmsherpa,Applications,Info aggregation,1417,1,0.07%,11,0.78%,140,Developer APIs to Accelerate LLM Projects,"ansukla, AaryanTR, IoanaDragan",10,2023-10-12,2024-10-18,0
pionxzh/chatgpt-exporter,Tutorials,,1310,1,0.08%,10,0.76%,103,Export and Share your ChatGPT conversation history,"pionxzh, michaelskyba, Notarin",21,2022-12-05,2024-10-13,0
mit-han-lab/llm-awq,Model development,Inference optimization,2495,1,0.04%,19,0.76%,192,[MLSys 2024 Best Paper Award] AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"kentang-mit, ys-2020, tonylins",10,2023-06-01,2024-10-10,0
OpenGVLab/InternVideo,Model repo,Multimodal,1400,1,0.07%,10,0.71%,85,[ECCV2024] Video Foundation Models & Data for Multimodal Understanding,"shepnerd, yinanhe, Andy1621",16,2022-11-23,2024-09-23,0
dleemiller/WordLlama,AI engineering,Dataset engineering,1308,1,0.08%,9,0.69%,41,Things you can do with the token embeddings of an LLM,"dleemiller, jgbarah, jimexist",3,2024-06-12,2024-10-28,0
webdataset/webdataset,Infrastructure,Data management,2295,1,0.04%,15,0.65%,187,"A high-performance Python-based I/O system for large (and small) deep learning problems, with strong support for PyTorch.","tmbdev, tmbnv, jacobbieker",41,2019-08-07,2024-09-27,0
state-spaces/s4,Model repo,,2452,1,0.04%,16,0.65%,295,Structured state space sequence models,"albertfgu, krandiash, ad12",8,2021-11-03,2023-07-11,0
vocodedev/vocode-python,AI engineering,AI interface,2894,1,0.03%,18,0.62%,489,🤖 Build voice-based LLM agents. Modular + open source.,"ajar98, Kian1354, HHousen",57,2023-02-24,2024-10-10,0
VainF/Torch-Pruning,Model development,Inference optimization,2698,1,0.04%,16,0.59%,332,[CVPR 2023] DepGraph: Towards Any Structural Pruning,"VainF, Hyunseok-Kim0, HollyLee2000",17,2019-12-15,2024-09-27,252
huggingface/evaluate,AI engineering,Evals,2024,1,0.05%,12,0.59%,259,🤗 Evaluate: A library for easily evaluating machine learning models and datasets.,"lhoestq, albertvillanova, lvwerra",100+,2022-03-30,2024-09-17,0
mlc-ai/web-llm,AI engineering,AI interface,13536,1,0.01%,75,0.55%,871,High-performance In-browser LLM Inference Engine ,"CharlieFRuan, Neet-Nestor, tqchen",42,2023-04-13,2024-11-04,0
aallam/openai-kotlin,AI engineering,AI interface,1470,1,0.07%,8,0.54%,172,OpenAI API client for Kotlin with multiplatform and coroutines capabilities.,"aallam, voqaldev, ahmedmirza994",35,2021-03-06,2024-10-26,0
huggingface/datatrove,Model development,Dataset engineering,2022,1,0.05%,11,0.54%,144,Freeing data processing from scripting madness by providing a set of platform-agnostic customizable pipeline processing blocks.,"guipenedo, alexchapeaux, hynky1999",34,2023-06-14,2024-10-17,0
spotify/voyager,Infrastructure,VectorDB,1309,1,0.08%,7,0.53%,53,"🛰️ An approximate nearest-neighbor search library for Python and Java with a focus on ease of use, simplicity, and deployability.","psobot, dylanrb123, miclegr",7,2023-04-13,2024-10-04,0
instill-ai/vdp,AI engineering,AIE framework,2119,1,0.05%,11,0.52%,105,"🔮 Instill Core is a full-stack AI infrastructure tool for data, model and pipeline orchestration, designed to streamline every aspect of building versatile AI-first applications","pinglin, donch1989, droplet-bot",24,2022-01-13,2024-11-05,0
huggingface/optimum,Model development,Modeling & training,2555,1,0.04%,13,0.51%,460,🚀 Accelerate training and inference of 🤗 Transformers and 🤗 Diffusers with easy to use hardware optimization tools,"fxmarty, echarlaix, JingyaHuang",100+,2021-07-20,2024-11-05,0
KhoomeiK/LlamaGym,Model development,Modeling & training,990,1,0.10%,5,0.51%,44,Fine-tune LLM agents with online reinforcement learning,KhoomeiK,1,2024-03-01,2024-03-10,0
openai/lm-human-preferences,Model repo,,1225,1,0.08%,6,0.49%,161,Code for the paper Fine-Tuning Language Models from Human Preferences,"WuTheFWasThat, leondz, karthik-rangarajan",3,2019-09-14,2023-04-14,0
mlcommons/inference,AI engineering,Evals,1226,1,0.08%,6,0.49%,534,Reference implementations of MLPerf™ inference benchmarks,"guschmue, psyhtest, arjunsuresh",100+,2018-09-13,2024-10-31,421
whylabs/langkit,Infrastructure,Monitoring,839,1,0.12%,4,0.48%,67,"🔍 LangKit: An open-source toolkit for monitoring Large Language Models (LLMs). 📚 Extracts signals from prompts & responses, ensuring safety & security. 🛡️ Features include text quality, relevance metrics, & sentiment analysis. 📊 A comprehensive tool for LLM observability. 👀","jamie256, FelipeAdachi, richard-rogers",10,2023-04-26,2024-10-30,0
fern-api/fern,Applications,Coding,2668,1,0.04%,12,0.45%,149,Input OpenAPI. Output SDKs and Docs.,"dsinghvi, zachkirsch, amckinney",75,2022-04-01,2024-11-05,0
mylxsw/aidea-server,AI engineering,AI interface,1569,1,0.06%,7,0.45%,433,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,"mylxsw, guanyiyao, huangxi1020",9,2023-08-30,2024-10-26,93
BCG-X-Official/agentkit,AI engineering,Agent,1582,1,0.06%,7,0.44%,209,"Starter-kit to build constrained agents with Nextjs, FastAPI and Langchain","drivian, kaikun213, harticode",8,2024-01-25,2024-07-21,0
mattzcarey/code-review-gpt,Applications,Coding,1587,1,0.06%,7,0.44%,161,"Code review powered by LLMs (OpenAI GPT4, Sonnet 3.5) & Embeddings ⚡️ Improve code quality and catch bugs before you break production 🚀 Lives in your Github/GitLab/Azure DevOps CI","lizacullis, SEBRATHEZEBRA, mattzcarey",26,2023-07-06,2024-10-31,0
BlinkDL/AI-Writer,Applications,Writing,2956,1,0.03%,13,0.44%,517,AI 写小说，生成玄幻和言情网文等等。中文预训练生成模型。采用我的 RWKV 模型，类似 GPT-2 。AI写作。RWKV for Chinese novel generation.,"BlinkDL, www, Wrg1t",3,2021-07-26,2022-01-15,27271
hao-ai-lab/LookaheadDecoding,Model development,Inference optimization,1140,1,0.09%,5,0.44%,67,[ICML 2024] Break the Sequential Dependency of LLM Inference Using Lookahead Decoding,"Viol2000, jiqing-feng, zhisbug",5,2023-11-21,2024-02-14,0
whitead/paper-qa,Applications,Info aggregation,6328,1,0.02%,27,0.43%,599,High accuracy RAG for answering questions from scientific documents with citations,"jamesbraza, geemi725, MilesCranmer",25,2023-02-05,2024-11-04,0
evo-design/evo,Model repo,Multimodal,951,1,0.11%,4,0.42%,114,Biological foundation modeling from molecular to genome scale,"brianhie, Zymrael, athms",8,2024-02-17,2024-09-05,0
TimDettmers/bitsandbytes,Model development,Inference optimization,6234,1,0.02%,26,0.42%,627,Accessible large language models via k-bit quantization for PyTorch.,"TimDettmers, Titus-von-Koeller, justheuristic",78,2021-06-04,2024-10-23,5373
openai/automated-interpretability,AI engineering,Evals,961,1,0.10%,4,0.42%,113,,"henktillman, williamrs-openai, WuTheFWasThat",8,2023-05-08,2024-03-06,0
J535D165/recordlinkage,AI engineering,Dataset engineering,963,1,0.10%,4,0.42%,153,A powerful and modular toolkit for record linkage and duplicate detection in Python,"J535D165, jillianderson8, joelbecker",18,2015-10-18,2023-07-20,482
OpenMotionLab/MotionGPT,Model repo,Multimodal,1494,1,0.07%,6,0.40%,92,"[NeurIPS 2023] MotionGPT: Human Motion as a Foreign Language, a unified motion-language generation model using LLMs","billl-jiang, ChenFengYe, baitian752",7,2023-06-20,2024-01-05,0
